Running with RISCV=/home/axel/chipyard/.conda-env/riscv-tools
(set -o pipefail &&  /home/axel/chipyard/sims/verilator/simulator-customtop-MsgLogger2BigConfig +permissive +dramsim +dramsim_ini_dir=/home/axel/chipyard/generators/testchipip/src/main/resources/dramsim2_ini +max-cycles=100000000   +verbose +permissive-off /home/axel/riscv-tests/benchmarks/mt-globals-logging.riscv </dev/null 2> >(spike-dasm > /home/axel/chipyard/sims/verilator/output/customtop.TestHarness.MsgLogger2BigConfig/mt-globals-logging.out) | tee /home/axel/chipyard/sims/verilator/output/customtop.TestHarness.MsgLogger2BigConfig/mt-globals-logging.log)
[UART] UART0 is here (stdin/stdout).
 tick dir chan              op  address     sink   source    param             data     size     mask  corrupt   denied
-----------------------------------------------------------------------------------------------------------------------
nmsg: 1424
    5  in    A             Get 80002080        -        6        0                0        6      255        0        -
    7  in    A             Get 80001000        -        8        0                0        3      255        0        -
    9 out    D   AccessAckData        -        0        6        0 1141808201416402        6        -        0        0
   10 out    D   AccessAckData        -        0        6        0 45850800e022e406        6        -        0        0
   11 out    D   AccessAckData        -        0        6        0 f0ef004785136789        6        -        0        0
   12 out    D   AccessAckData        -        0        6        0 640260a20001f6bf        6        -        0        0
   13 out    D   AccessAckData        -        0        6        0 f786714180820141        6        -        0        0
   14 out    D   AccessAckData        -        0        6        0     27171b80f3a2        6        -        0        0
   15 out    D   AccessAckData        -        0        6        0 e4040793de470713        6        -        0        0
   16 out    D   AccessAckData        -        0        6        0 863a1400071386ba        6        -        0        0
   17 out    D   AccessAckData        -        1        8        0                0        3        -        0        0
   49  in    A    AcquireBlock 80004940        -        4        1                0        6      255        0        -
   51 out    B      ProbeBlock 80004940        -        0        2                0        6      255        0        -
   52  in    A             Get 80001000        -        8        0                0        3      255        0        -
   56 out    D   AccessAckData        -        1        8        0                0        3        -        0        0
   58  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   59  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   60  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   61  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   62  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   63 out    D       GrantData        -        0        4        0                0        6        -        0        0
   64 out    D       GrantData        -        0        4        0                0        6        -        0        0
   65  in    E               -        -        0        -        -                -        -        -        -        -
   65 out    D       GrantData        -        0        4        0                0        6        -        0        0
   66 out    D       GrantData        -        0        4        0                0        6        -        0        0
   67 out    D       GrantData        -        0        4        0                0        6        -        0        0
   68 out    D       GrantData        -        0        4        0                0        6        -        0        0
   69 out    D       GrantData        -        0        4        0        100000001        6        -        0        0
   70 out    D       GrantData        -        0        4        0                0        6        -        0        0
   63  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   64  in    C    ProbeAckData 80004940        -        0        1        100000001        6        -        0        -
   65  in    C    ProbeAckData 80004940        -        0        1                0        6        -        0        -
   73 out    B      ProbeBlock 80004940        -        4        1                0        6      255        0        -
   71  in    A    AcquireBlock 80004940        -        0        0                0        6      255        0        -
   86  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
   87  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
   88  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
   89  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
   90  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
   91 out    D       GrantData        -        0        0        1                0        6        -        0        0
   92 out    D       GrantData        -        0        0        1                0        6        -        0        0
   93  in    E               -        -        0        -        -                -        -        -        -        -
   93 out    D       GrantData        -        0        0        1                0        6        -        0        0
   94 out    D       GrantData        -        0        0        1                0        6        -        0        0
   95 out    D       GrantData        -        0        0        1                0        6        -        0        0
   96 out    D       GrantData        -        0        0        1                0        6        -        0        0
   97 out    D       GrantData        -        0        0        1        100000002        6        -        0        0
   98 out    D       GrantData        -        0        0        1                0        6        -        0        0
   99 out    D   AccessAckData        -        1        8        0                0        3        -        0        0
   91  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
   92  in    C    ProbeAckData 80004940        -        4        0        100000002        6        -        0        -
   93  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
  101 out    B      ProbeBlock 80004940        -        0        2                0        6      255        0        -
   91  in    A             Get 80001000        -        8        0                0        3      255        0        -
   99  in    A    AcquireBlock 80004940        -        4        2                0        6      255        0        -
  110  in    C        ProbeAck 80004940        -        0        2                0        6        -        0        -
  114 out    D           Grant        -        0        4        0                0        6        -        0        0
  116  in    E               -        -        0        -        -                -        -        -        -        -
  116  in    A    AcquireBlock 80004940        -        0        0                0        6      255        0        -
  118 out    B      ProbeBlock 80004940        -        4        1                0        6      255        0        -
  129  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
  130  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
  131  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
  132  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
  133  in    C    ProbeAckData 80004940        -        4        0                0        6        -        0        -
  134 out    D       GrantData        -        0        0        1                0        6        -        0        0
  135 out    D       GrantData        -        0        0        1                0        6        -        0        0
  136  in    E               -        -        0        -        -                -        -        -        -        -
  136 out    D       GrantData        -        0        0        1                0        6        -        0        0
  137 out    D       GrantData        -        0        0        1                0        6        -        0        0
